id,title,area,zone,size_sqft,bedrooms,bathrooms,rent_bdt,service_charge_bdt,total_monthly_cost_bdt,price_per_sqft,furnished,parking,lift,cctv,generator,managed_by,verified,source
1,Elegant 2000 Sq Ft Fully Furnished Apartment,"Block C, Bashundhara R-A",Bashundhara R-A,2000,3,3,100000,,100000.0,50.0,Furnished,,,,,Bproperty,True,real
2,Reasonable 1300 Sq Ft Apartment,"Block C, Khilgaon",Khilgaon,1300,3,3,24000,3500.0,27500.0,18.46153846153846,Unfurnished,,,,,Bproperty,True,real
3,600 Sq Ft Cozy Apartment,"Central Road, Dhanmondi",Dhanmondi,600,1,2,20000,2300.0,22300.0,33.333333333333336,Unfurnished,,,,,Bproperty,True,real
4,Spacious 3700 Sq Ft Apartment,"Gulshan 2, Gulshan",Gulshan 2,3700,4,5,200000,,200000.0,54.054054054054056,Semi-Furnished,,,,,Bproperty,True,real
5,Modest 1300 Sq Ft Apartment,"PC Culture Housing, Mohammadpur",Mohammadpur,1300,3,3,20000,,20000.0,15.384615384615385,Unfurnished,,,,,Bproperty,True,real
6,Vast 4233 Sq Ft Residential Flat,"Gulshan 2, Gulshan",Gulshan 2,4233,4,5,200000,15000.0,215000.0,47.24781478856603,Semi-Furnished,,,,,Bproperty,True,real
7,Spacious 2300 Sq Ft Flat,"Humayun Road, Mohammadpur",Mohammadpur,2300,5,6,65000,,65000.0,28.26086956521739,Unfurnished,,,,,Bproperty,True,real
8,Modest 1500 Sq Ft Flat,"Sector 11, Uttara",Uttara,1500,3,4,60000,6000.0,66000.0,40.0,Semi-Furnished,,,,,Bproperty,True,real
9,Reasonable 1315 Sq Ft Flat,"Mohammadia Housing Society, Mohammadpur",Mohammadpur,1315,3,3,28000,,28000.0,21.29277566539924,Unfurnished,,,,,Bproperty,True,real
10,Classy 4200 Sq Ft Semi-Furnished Flat,"Block I, Bashundhara R-A",Bashundhara R-A,4200,5,5,180000,,180000.0,42.857142857142854,Semi-Furnished,,,,,Bproperty,True,real
11,Valuable 1700 Sq Ft Apartment,"Sector 12, Uttara",Uttara,1700,3,2,65000,,65000.0,38.23529411764706,Unfurnished,,,,,Bproperty,True,real
12,Standard 2000 sq ft Apartment,"Road No 11, Dhanmondi",Dhanmondi,2000,3,3,60000,9000.0,69000.0,30.0,Unfurnished,,,,,Bproperty,True,real
13,Prominent 2400 Sq Ft Flat,"Block I, Bashundhara R-A",Bashundhara R-A,2400,4,4,50000,,50000.0,20.833333333333332,Unfurnished,,,,,Bproperty,True,real
14,1300 Sq Ft Residential Flat,"Khilji Road, Mohammadpur",Mohammadpur,1300,2,3,40000,,40000.0,30.76923076923077,Unfurnished,,,,,Bproperty,True,real
15,Conventional 950 Sq Ft Flat,"Sector 12, Uttara",Uttara,950,2,2,40000,5000.0,45000.0,42.10526315789474,Unfurnished,,,,,Bproperty,True,real
16,Valuable 1900 sq ft Flat,"Road No 2A, Dhanmondi",Dhanmondi,1900,3,3,60000,7500.0,67500.0,31.57894736842105,Unfurnished,,,,,Bproperty,True,real
17,Conspicuous 2400 sq ft Flat,"Kalachandpur Main Road, Nadda",Nadda,2400,4,4,75000,,75000.0,31.25,Unfurnished,,,,,Bproperty,True,real
18,Contemporary 1650 sq ft Apartment,"Mirpur Road, New Market",New Market,1650,3,3,40000,9000.0,49000.0,24.242424242424242,Unfurnished,,,,,Bproperty,True,real
19,Upscale 1880 sq ft Apartment,"Block I, Bashundhara R-A",Bashundhara R-A,1880,3,4,35000,,35000.0,18.617021276595743,Semi-Furnished,,,,,Bproperty,True,real
20,Commodious 2170 Sq Ft Apartment,"Sector 12, Uttara",Uttara,2170,3,4,50000,,50000.0,23.04147465437788,Semi-Furnished,,,,,Bproperty,True,real
21,Reasonable 1250 Sq Ft Apartment,"Nobodoy Housing Society, Mohammadpur",Mohammadpur,1250,3,3,22500,,22500.0,18.0,Unfurnished,,,,,Bproperty,True,real
22,Suitable 1300 Sq Ft Apartment,"PC Culture Housing, Mohammadpur",Mohammadpur,1300,3,3,20000,,20000.0,15.384615384615385,Unfurnished,,,,,Bproperty,True,real
23,Nice 1900 Sq Ft Apartment,"Sector 10, Uttara",Uttara,1900,3,4,40000,,40000.0,21.05263157894737,Unfurnished,,,,,Bproperty,True,real
24,1090 Sq Ft Flat in Uttara Sector 11,"Sector 11, Uttara",Uttara,1090,2,2,23000,,23000.0,21.10091743119266,Unfurnished,,,,,Bproperty,True,real
25,"1 Bed 2454 Sq Ft Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,2454,1,2,84600,15000.0,99600.0,34.474327628361856,Unfurnished,False,True,True,True,Bproperty,True,synthetic
26,"4 Bed 1427 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1427,4,5,35400,,35400.0,24.8072880168185,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
27,"4 Bed 2347 Sq Ft Apartment in PC Culture Housing, Mohammadpur","PC Culture Housing, Mohammadpur",Mohammadpur,2347,4,3,74400,12000.0,86400.0,31.70004260758415,Unfurnished,True,True,True,False,Bproperty,True,synthetic
28,"5 Bed 2282 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2282,5,5,54900,6000.0,60900.0,24.057843996494302,Unfurnished,True,True,True,False,Bproperty,True,synthetic
29,"4 Bed 2847 Sq Ft Furnished Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,2847,4,5,68500,,68500.0,24.060414471373374,Furnished,True,True,True,False,Bproperty,True,synthetic
30,"2 Bed 1295 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1295,2,3,27600,12000.0,39600.0,21.312741312741313,Unfurnished,False,True,True,True,Bproperty,True,synthetic
31,"5 Bed 4091 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,4091,5,5,93100,7500.0,100600.0,22.757272060620874,Unfurnished,True,True,False,False,Bproperty,True,synthetic
32,"1 Bed 1630 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,1630,1,1,109500,7500.0,117000.0,67.17791411042944,Semi-Furnished,True,True,False,False,Bproperty,True,synthetic
33,"4 Bed 1265 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,1265,4,3,91200,,91200.0,72.09486166007905,Semi-Furnished,True,True,False,True,Bproperty,True,synthetic
34,"2 Bed 1041 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,1041,2,1,58000,,58000.0,55.71565802113353,Unfurnished,False,True,True,True,Bproperty,True,synthetic
35,"1 Bed 2950 Sq Ft Apartment in Road No 11, Dhanmondi","Road No 11, Dhanmondi",Dhanmondi,2950,1,1,97100,12000.0,109100.0,32.91525423728814,Unfurnished,True,True,True,True,Bproperty,True,synthetic
36,"3 Bed 4481 Sq Ft Apartment in Humayun Road, Mohammadpur","Humayun Road, Mohammadpur",Mohammadpur,4481,3,4,106000,,106000.0,23.65543405489846,Unfurnished,True,True,True,True,Bproperty,True,synthetic
37,"1 Bed 3417 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3417,1,1,263800,,263800.0,77.2022241732514,Semi-Furnished,False,False,False,True,Bproperty,True,synthetic
38,"3 Bed 1916 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,1916,3,2,44600,5000.0,49600.0,23.2776617954071,Unfurnished,True,False,True,True,Bproperty,True,synthetic
39,"5 Bed 4200 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,4200,5,4,113000,6000.0,119000.0,26.904761904761905,Semi-Furnished,True,False,True,True,Bproperty,True,synthetic
40,"5 Bed 1597 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,1597,5,4,49100,,49100.0,30.745147150907954,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
41,"3 Bed 2754 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,2754,3,2,81000,3500.0,84500.0,29.41176470588235,Unfurnished,True,True,True,True,Bproperty,True,synthetic
42,"5 Bed 4444 Sq Ft Furnished Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,4444,5,4,133800,,133800.0,30.10801080108011,Furnished,True,True,False,False,Bproperty,True,synthetic
43,"3 Bed 4489 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,4489,3,3,142800,2000.0,144800.0,31.811093784807305,Unfurnished,True,True,True,False,Bproperty,True,synthetic
44,"2 Bed 1962 Sq Ft Apartment in Road No 2A, Dhanmondi","Road No 2A, Dhanmondi",Dhanmondi,1962,2,2,59600,5000.0,64600.0,30.37716615698267,Semi-Furnished,True,True,True,True,Bproperty,True,synthetic
45,"3 Bed 4104 Sq Ft Furnished Apartment in Nobodoy Housing Society, Mohammadpur","Nobodoy Housing Society, Mohammadpur",Mohammadpur,4104,3,4,106000,12000.0,118000.0,25.828460038986353,Furnished,True,True,True,True,Bproperty,True,synthetic
46,"4 Bed 2487 Sq Ft Furnished Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,2487,4,3,192200,,192200.0,77.28186570164857,Furnished,True,True,True,True,Bproperty,True,synthetic
47,"1 Bed 3211 Sq Ft Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,3211,1,2,64600,3500.0,68100.0,20.118343195266274,Unfurnished,False,False,True,False,Bproperty,True,synthetic
48,"2 Bed 1087 Sq Ft Apartment in Block A, Bashundhara R-A","Block A, Bashundhara R-A",Bashundhara R-A,1087,2,1,53300,,53300.0,49.03403863845446,Unfurnished,True,True,False,False,Bproperty,True,synthetic
49,"5 Bed 2968 Sq Ft Apartment in Sector 11, Uttara","Sector 11, Uttara",Uttara,2968,5,4,116000,5000.0,121000.0,39.08355795148248,Semi-Furnished,False,True,True,False,Bproperty,True,synthetic
50,"1 Bed 3905 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,3905,1,2,102900,7500.0,110400.0,26.350832266325224,Unfurnished,False,True,True,True,Bproperty,True,synthetic
51,"1 Bed 1596 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1596,1,2,43200,,43200.0,27.06766917293233,Semi-Furnished,True,False,True,False,Bproperty,True,synthetic
52,"1 Bed 2850 Sq Ft Furnished Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,2850,1,1,120600,3000.0,123600.0,42.31578947368421,Furnished,True,True,True,True,Bproperty,True,synthetic
53,"2 Bed 4046 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,4046,2,1,123800,12000.0,135800.0,30.59812160158181,Unfurnished,False,True,True,False,Bproperty,True,synthetic
54,"5 Bed 2883 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2883,5,5,71900,15000.0,86900.0,24.939299340964272,Unfurnished,True,True,True,False,Bproperty,True,synthetic
55,"1 Bed 978 Sq Ft Furnished Apartment in Khilji Road, Mohammadpur","Khilji Road, Mohammadpur",Mohammadpur,978,1,1,28500,,28500.0,29.141104294478527,Furnished,True,True,True,False,Bproperty,True,synthetic
56,"3 Bed 1253 Sq Ft Apartment in Sector 10, Uttara","Sector 10, Uttara",Uttara,1253,3,3,32300,,32300.0,25.778132482043098,Unfurnished,True,True,True,True,Bproperty,True,synthetic
57,"3 Bed 1424 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,1424,3,4,47500,2000.0,49500.0,33.35674157303371,Unfurnished,True,True,True,True,Bproperty,True,synthetic
58,"1 Bed 4432 Sq Ft Furnished Apartment in Block C, Bashundhara R-A","Block C, Bashundhara R-A",Bashundhara R-A,4432,1,1,225800,2000.0,227800.0,50.94765342960289,Furnished,True,False,True,True,Bproperty,True,synthetic
59,"5 Bed 2079 Sq Ft Furnished Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,2079,5,4,77000,,77000.0,37.03703703703704,Furnished,True,False,True,False,Bproperty,True,synthetic
60,"2 Bed 1097 Sq Ft Apartment in Sector 10, Uttara","Sector 10, Uttara",Uttara,1097,2,3,37900,12000.0,49900.0,34.54876937101185,Unfurnished,True,True,True,True,Bproperty,True,synthetic
61,"3 Bed 3536 Sq Ft Apartment in Gulshan 2, Gulshan","Gulshan 2, Gulshan",Gulshan 2,3536,3,3,233100,9000.0,242100.0,65.92194570135747,Unfurnished,True,True,True,True,Bproperty,True,synthetic
62,"2 Bed 3751 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3751,2,3,91000,9000.0,100000.0,24.26019728072514,Semi-Furnished,True,True,True,False,Bproperty,True,synthetic
63,"5 Bed 3907 Sq Ft Furnished Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,3907,5,5,89800,5000.0,94800.0,22.984386997696443,Furnished,True,True,True,False,Bproperty,True,synthetic
64,"2 Bed 2933 Sq Ft Apartment in Mirpur Road, New Market","Mirpur Road, New Market",New Market,2933,2,1,79500,3000.0,82500.0,27.105352881009207,Unfurnished,True,True,True,False,Bproperty,True,synthetic
65,"1 Bed 4229 Sq Ft Apartment in Kalachandpur Main Road, Nadda","Kalachandpur Main Road, Nadda",Nadda,4229,1,1,141300,,141300.0,33.41215417356349,Unfurnished,True,True,True,False,Bproperty,True,synthetic
66,"3 Bed 2572 Sq Ft Apartment in Block C, Khilgaon","Block C, Khilgaon",Khilgaon,2572,3,2,47200,12000.0,59200.0,18.351477449455675,Unfurnished,False,True,True,False,Bproperty,True,synthetic
67,"4 Bed 3453 Sq Ft Apartment in Sector 10, Uttara","Sector 10, Uttara",Uttara,3453,4,4,94800,,94800.0,27.45438748913988,Semi-Furnished,True,True,False,False,Bproperty,True,synthetic
